,name,github_id,labels,category,homepage,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,pypi_id,pypi_url,pypi_monthly_downloads,doc_url,trending,conda_id,conda_url,conda_latest_release_published_at,conda_total_downloads,docs_url,update_at,commint_count,gitlab_id,gitlab_url
0,Godot,godotengine/godot,[],game,https://godotengine.org/,https://github.com/godotengine/godot,MIT,2014-01-04 16:05:36,2025-07-28 15:56:18,2025-07-28 15:49:34,76226.0,2218.0,22397.0,1496.0,50214.0,11984.0,45774.0,99400.0,2025-06-25 12:23:19,3.6.1-stable,11204709.0,88226.0,61.0,Godot Engine Multi-platform 2D and 3D game engine.,21.0,21.0,3430.0,45,True,1.0,,,,,,,,,,,,,,
1,Bevy,bevyengine/bevy,,game,https://bevy.org/,https://github.com/bevyengine/bevy,Apache-2.0,2020-01-18 21:13:55,2025-07-30 07:59:56,2025-07-30 04:01:39,9400.0,648.0,3974.0,299.0,11370.0,2352.0,4752.0,40778.0,2025-06-03 20:02:48,0.16.1,,,43.0,A refreshingly simple data-driven game engine built in Rust.,24784.0,24784.0,1356.0,39,True,2.0,,,,,,,,,,,,,,
2,Gymnasium,Farama-Foundation/Gymnasium,,ml,https://gymnasium.farama.org/,https://github.com/Farama-Foundation/Gymnasium,MIT,2022-09-08 01:58:05,2025-07-22 21:49:23,2025-07-22 21:45:23,2489.0,29.0,1069.0,60.0,878.0,67.0,470.0,9749.0,2025-06-27 08:20:46,1.2.0,,3714599.0,16.0,"An API standard for single-agent reinforcement learning environments, with popular reference environments and related..",19863.0,19863.0,546.0,39,True,1.0,gymnasium,https://pypi.org/project/gymnasium,3714599.0,,,,,,,,,,,
3,mujoco,google-deepmind/mujoco,[],robotics,https://mujoco.org/,https://github.com/google-deepmind/mujoco,Apache-2.0,2021-08-27 12:25:48,2025-07-29 18:32:18,2025-07-29 18:31:18,3242.0,296.0,1062.0,115.0,323.0,128.0,1599.0,10272.0,2025-07-09 20:14:25,3.3.4,672056.0,14934.0,39.0,Multi-Joint dynamics with Contact. A general purpose physics simulator.,4653.0,4653.0,92.0,37,True,1.0,,,,,,,,,,,,,,
4,Gym,openai/gym,[],ml,https://www.gymlibrary.dev/,https://github.com/openai/gym,MIT,2016-04-27 14:59:16,2024-10-11 20:07:05,2023-01-30 18:15:21,1757.0,,8184.0,1059.0,1464.0,111.0,1726.0,36297.0,2022-10-04 16:39:12,0.26.2,,,19.0,A toolkit for developing and comparing reinforcement learning algorithms.,68102.0,68102.0,383.0,33,False,1.0,,,,,,,,,,,,,,
5,airsim,microsoft/AirSim,,aerial,https://github.com/microsoft/AirSim,https://github.com/microsoft/AirSim,mit,2017-02-14 00:52:29,2025-05-15 20:28:58,2025-05-15 20:28:57,3561.0,1.0,4426.0,593.0,903.0,670.0,2730.0,17353.0,2022-07-18 20:11:48,1.8.1,637589.0,6782.0,30.0,"Open source simulator for autonomous vehicles built on Unreal Engine / Unity, from Microsoft AI & Research.",426.0,426.0,243.0,32,False,1.0,,,,https://microsoft.github.io/AirSim/,,,,,,,,,,
6,Carla,carla-simulator/carla,[],auto,https://carla.org/,https://github.com/carla-simulator/carla,MIT,2017-10-24 09:06:23,2025-07-30 09:24:13,2025-07-02 15:37:37,6619.0,14.0,3997.0,260.0,1950.0,1140.0,4889.0,12819.0,2024-12-19 14:10:57,0.10.0,,,27.0,Open-source simulator for autonomous driving research.,1092.0,1092.0,184.0,32,True,1.0,,,,,,,,,,,,,,
7,Drake,RobotLocomotion/drake,[],physics,https://drake.mit.edu/,https://github.com/RobotLocomotion/drake,BSD-3-Clause,2014-01-26 16:11:05,2025-07-30 06:42:03,2025-07-29 22:37:41,33767.0,239.0,1235.0,170.0,16703.0,695.0,5829.0,3644.0,2025-07-17 20:04:46,1.43.0,127581.0,1081.0,78.0,Model-based design and verification for robotics.,,,269.0,32,True,1.0,,,,,,,,,,,,,,
8,O3DE,o3de/o3de,[],game,https://o3de.org/,https://github.com/o3de/o3de,MIT and Apache-2,2021-04-05 06:38:18,2025-07-29 18:12:47,2025-07-29 18:12:47,26549.0,187.0,2299.0,144.0,10876.0,3292.0,4495.0,8439.0,2025-07-22 17:21:09,2505.1,9973.0,207.0,16.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,312.0,29,True,3.0,,,,,,,,,,,,,,
9,O3DE for Robotics,o3de/o3de,[],robotics,https://o3de.org/,https://github.com/o3de/o3de,MIT and Apache-2,2021-04-05 06:38:18,2025-07-29 18:12:47,2025-07-29 18:12:47,26549.0,187.0,2299.0,144.0,10876.0,3292.0,4495.0,8439.0,2025-07-22 17:21:09,2505.1,9973.0,207.0,16.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,312.0,29,True,1.0,,,,,,,,,,,,,,
