,name,github_id,category,homepage,pypi_id,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,description,projectrank,show,projectrank_placing,license,star_count,docs_url,release_count,latest_stable_release_number,latest_stable_release_published_at,update_at,last_commit_pushed_at,created_at,fork_count,commit_count,open_issue_count,closed_issue_count,updated_at,trending,gitlab_id,labels,gitlab_url,doc_url,conda_id,conda_url,conda_latest_release_published_at,conda_total_downloads,home_page
0,Gymnasium,Farama-Foundation/Gymnasium,ml,https://gymnasium.farama.org/,gymnasium,23176.0,23176.0,600.0,https://pypi.org/project/gymnasium,7693419.0,7693419.0,,16,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1,HoloOcean,byu-holoocean/HoloOcean,maritime,https://byu-holoocean.github.io/holoocean-docs/,,,,11.0,,,,"A UE5 based simulator for marine perception and autonomy, with multi-agent communications and many common underwater..",12,True,1.0,MIT and Unreal Engine EULA,98.0,https://byu-holoocean.github.io/holoocean-docs/,8.0,2.3.0,2026-02-05,2026-02-05,2026-02-05,2020-10-04,47.0,200.0,20.0,163.0,2020-10-04,,,,,,,,,,
2,PyRender,mmatl/pyrender,render,http://pyrender.readthedocs.io/,pyrender,3224.0,3224.0,23.0,https://pypi.org/project/pyrender,921724.0,921724.0,,12,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,
3,Bevy,bevyengine/bevy,game,https://bevy.org/,,26110.0,26110.0,1637.0,,,,,10,True,1.0,,,,,,,,,,,,,,,-29.0,,,,,,,,,
4,Gymnasium Robotics,Farama-Foundation/Gymnasium-Robotics,ml,https://robotics.farama.org/,gymnasium-robotics,349.0,349.0,41.0,https://pypi.org/project/gymnasium-robotics,40248.0,40248.0,,9,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,
5,Flightgear,,aerial,https://www.flightgear.org/,,,,,,,,FlightGear open-source flight simulator [flightgear.org](https://www.flightgear.org).,8,True,1.0,gnu-gpl2,76.0,,0.0,,,,,2015-03-04 07:33:36,56.0,,236.0,373.0,2015-03-04 07:33:36,,flightgear/flightgear,[],https://gitlab.com/flightgear/flightgear,,,,,,
6,Robwork,,robotics,http://robwork.dk/,,,,,,,,"RobWork is a collection of C++ libraries for simulation and control of robot systems, see http://robwork.dk To get..",8,True,1.0,apache-2,33.0,,0.0,,,,,2016-04-07 10:41:55,38.0,,17.0,94.0,2016-04-07 10:41:55,,sdurobotics/RobWork,,https://gitlab.com/sdurobotics/RobWork,,,,,,
7,mjlab,mujocolab/mjlab,ml,https://github.com/mujocolab/mjlab,mjlab,,,54.0,https://pypi.org/project/mjlab,115456.0,115456.0,,8,True,1.0,Apache-2,,,,,,,,,,,,,,,,,,https://github.com/mujocolab/mjlab/blob/main/README.md,,,,,
8,airsim,microsoft/AirSim,aerial,{},,450.0,450.0,247.0,,,,,8,False,1.0,mit,,,,,,,,,,,,,,,,,,https://microsoft.github.io/AirSim/,,,,,
9,HighwayEnv,Farama-Foundation/HighwayEnv,others,https://highway-env.farama.org/,highway-env,307.0,307.0,58.0,https://pypi.org/project/highway-env,7242.0,7242.0,,8,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,
10,Metaworld,Farama-Foundation/Metaworld,ml,https://metaworld.farama.org/,metaworld,109.0,109.0,47.0,https://pypi.org/project/metaworld,33916.0,33916.0,,8,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11,SimSpark,,robotics,https://gitlab.com/robocup-sim/SimSpark,,,,,,,,A generic physical simulator.,7,True,1.0,Missing,22.0,,38.0,,,,2025-01-21,2017-10-13 09:44:12,8.0,,28.0,29.0,2017-10-13 09:44:12,,robocup-sim/SimSpark,,https://gitlab.com/robocup-sim/SimSpark,,,,,,
12,mujoco,google-deepmind/mujoco,robotics,https://mujoco.org/,,5705.0,5705.0,130.0,,,,,7,True,1.0,,,,,,,,,,,,,,,-31.0,,[],,,,,,,
13,Carla,carla-simulator/carla,auto,https://carla.org/,,1127.0,1127.0,203.0,,,,,7,True,1.0,,,,,,,,,,,,,,,,,[],,,,,,,
14,jaxsim,ami-iit/jaxsim,ml,https://jaxsim.readthedocs.io,jaxsim,4.0,4.0,16.0,https://pypi.org/project/jaxsim,1156.0,1823.0,A differentiable physics engine and multibody dynamics library for control and robot learning.,7,True,2.0,,,,14.0,,,,,2024-02-04 08:51:02.484000,,,,,2026-04-29 13:23:30.608000,,,,,,conda-forge/jaxsim,https://anaconda.org/conda-forge/jaxsim,2026-04-29 13:23:30.608,20028.0,
15,BRAX,google/brax,physics,{},,603.0,603.0,55.0,,,,,7,False,1.0,Apache-2,,,,,,,,,,,,,,,,,,,,,,,
16,Pinocchio,stack-of-tasks/pinocchio,physics,http://stack-of-tasks.github.io/pinocchio/,pin,,,120.0,https://pypi.org/project/pin,1060084.0,1060084.0,,7,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,
17,Gym,openai/gym,ml,https://www.gymlibrary.dev/,,24.0,24.0,385.0,,,,,6,False,2.0,MIT,,,,,,,,,,,,,,,,[],,,,,,,
18,Bullet Physics SDK,bulletphysics/bullet3,physics,http://bulletphysics.org/,,24.0,24.0,311.0,,,,,5,True,2.0,zlib,,,,,,,,,,,,,,,,[],,,,,,,
19,Godot,godotengine/godot,game,https://godotengine.org/,,24.0,24.0,3894.0,,,,,5,True,2.0,,,,,,,,,,,,,,,-40.0,,[],,,,,,,
20,AI2-thor,allenai/ai2thor,ml,https://ai2thor.allenai.org/,,401.0,401.0,53.0,,,,,5,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,
21,IR-SIM,hanruihua/ir-sim,flatsim,https://ir-sim.readthedocs.io/en,ir-sim,16.0,16.0,15.0,https://pypi.org/project/ir-sim,2071.0,2071.0,,5,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,
22,Avian 3D,Jondolf/avian,physics,https://crates.io/crates/avian3d,,385.0,385.0,88.0,,,,,5,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,
23,Jiminy,duburcqa/jiminy,ml,{},jiminy-py,,,9.0,https://pypi.org/project/jiminy-py,3252.0,3252.0,,5,False,2.0,MIT,,,,,,,,,,,,,,,,,,,,,,,
24,Gazebo Classic,gazebosim/gazebo-classic,robotics,https://classic.gazebosim.org/,,,,202.0,,,,,4,False,2.0,Apache-2,,,,,,,,,,,,,,,,,,,,,,,
25,NVIDIA Isaac Sim Isaac Lab,isaac-sim/IsaacLab,ml,https://isaac-sim.github.io/IsaacLab,,,,242.0,,,,,4,True,2.0,BSD-3-Clause,,,,,,,,,,,,,,,,[],,,,,,,
26,Drake,RobotLocomotion/drake,physics,https://drake.mit.edu/,,,,280.0,,,,,4,True,2.0,BSD-3-Clause,,,,,,,,,,,,,,-28.0,,[],,,,,,,
27,Habitat Sim,facebookresearch/habitat-sim,ml,https://aihabitat.org/,,76.0,76.0,63.0,,,,,4,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,
28,Genesis,Genesis-Embodied-AI/Genesis,ml,{},,123.0,123.0,104.0,,,,,4,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,
29,Cosys-AirSim,Cosys-Lab/Cosys-AirSim,aerial,https://cosys-lab.github.io/Cosys-AirSim/,,,,267.0,,,,,4,True,2.0,mit,,,,,,,,,,,,,,,,,,,,,,,
30,Project CHRONO,projectchrono/chrono,physics,https://projectchrono.org,,,,152.0,,,,,4,True,2.0,BSD 3-Clause,,,,,,,,,,,,,,,,,,,,,,,
31,UNav-Sim,open-airlab/UNav-Sim,maritime,{},,,,252.0,,,,,4,False,1.0,MIT,,,,,,,,,,,,,,,,,,,,,,,
32,Sapien,haosulab/SAPIEN,ml,https://sapien.ucsd.edu/,,248.0,248.0,20.0,,,,,4,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,
33,PyFlyt,jjshoots/PyFlyt,aerial,{},pyflyt,39.0,39.0,12.0,https://pypi.org/project/pyflyt,744.0,744.0,,4,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,https://taijunjet.com/PyFlyt/index.html
34,Colosseum,CodexLabsLLC/Colosseum,aerial,https://codexlabsllc.github.io/Colosseum/,,,,259.0,,,,,4,True,2.0,MIT,,,,,,,,,,,,,,,,,,,,,,,
35,ARGoS,ilpincy/argos3,robotics,https://www.argos-sim.info/,,,,25.0,,,,,3,True,2.0,MIT,,,,,,,,,,,,,,,,[],,,,,,,
36,pyrobosim,sea-bass/pyrobosim,flatsim,https://pyrobosim.readthedocs.io/,pyrobosim,9.0,9.0,20.0,https://pypi.org/project/pyrobosim,811.0,811.0,,3,True,2.0,,,,,,,,,,,,,,,,,[],,,,,,,
37,RotorS,ethz-asl/rotors_simulator,aerial,{},,,,49.0,,,,,3,False,2.0,mit,,,,,,,,,,,,,,,,[],,,,,,,
38,O3DE,o3de/o3de,game,https://o3de.org/,,,,338.0,,,,,3,True,2.0,MIT and Apache-2,,,,,,,,,,,,,,-27.0,,[],,,,,,,
39,O3DE for Robotics,o3de/o3de,robotics,https://o3de.org/,,,,338.0,,,,,3,True,2.0,MIT and Apache-2,,,,,,,,,,,,,,,,[],,,,,,,
40,Atom,o3de/o3de,render,https://docs.o3de.org/docs/atom-guide/,,,,338.0,,,,,3,True,2.0,Apache-2.0 and MIT,,,,,,,,,,,,,,,,[],,,,,,,
41,AWSim,tier4/AWSIM,auto,{},,,,35.0,,,,,3,False,2.0,apache-2,,,,,,,,,,,,,,,,,,,,,,,
42,UUV Simulator,uuvsimulator/uuv_simulator,maritime,https://uuvsimulator.github.io/,,,,21.0,,,,,3,False,2.0,apache-2,,,,,,,,,,,,,,,,,,,,,,,
43,ESMINI,esmini/esmini,auto,{},,,,94.0,,,,,3,False,2.0,MPL-2,,,,,,,,,,,,,,,,,,,,,,,
44,IGibson,StanfordVL/iGibson,ml,https://svl.stanford.edu/igibson/,,14.0,14.0,34.0,,,,,3,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,
45,IsaacLab-HARL,some45bucks/IsaacLab-HARL,ml,https://some45bucks.github.io/IsaacLab-HARL/,,,,120.0,,,,,3,True,3.0,BSD-3-Clause,,,,,,,,,,,,,,,,,,,,,,,
46,Gazebo,gazebosim/gz-sim,robotics,https://gazebosim.org/home,,,,190.0,,,,,2,True,2.0,,,,,,,,,,,,,,,,,,,https://gazebosim.org/api/sim/9/,,,,,
47,Flightmare,uzh-rpg/flightmare,aerial,https://uzh-rpg.github.io/flightmare/,,,,7.0,,,,,2,True,2.0,MIT,,,,,,,,,,,,,,,,[],,,,,,,
48,FlightGoggles,mit-aera/FlightGoggles,aerial,https://flightgoggles.mit.edu/,,,,9.0,,,,,2,True,2.0,MIT,,,,,,,,,,,,,,,,[],,,,,,,
49,OpenRAVE,rdiankov/openrave,robotics,https://openrave.org/,,,,123.0,,,,,2,True,2.0,Apache-2 and LGPL-3,,,,,,,,,,,,,,,,[],,,,,,,
50,Unity Robotics Hub,Unity-Technologies/Unity-Robotics-Hub,robotics,{},,,,13.0,,,,,2,False,2.0,Apache-2,,,,,,,,,,,,,,,,[],,,,,,,
51,PyBullet Gym,benelot/pybullet-gym,ml,https://pybullet.org/,,,,14.0,,,,,2,True,3.0,MIT,,,,,,,,,,,,,,,,[],,,,,,,
52,ODE,thomasmarsh/ODE,physics,http://www.ode.org/,,,,34.0,,,,,2,True,2.0,gnu-gpl and BSD-3-clause,,,,,,,,,,,,,,,,[],,,,,,,
53,DART,dartsim/dart,physics,http://dartsim.github.io/,,9.0,9.0,78.0,,,,,2,True,2.0,,,,,,,,,,,,,,,,,[],,,,,,,
54,OGRE,OGRECave/ogre,render,https://www.ogre3d.org/,,,,343.0,,,,,2,True,2.0,,,,,,,,,,,,,,,,,[],,,,,,,
55,Holodeck,BYU-PCCL/holodeck,ml,{},,10.0,10.0,20.0,,,,,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,
56,Morse,morse-simulator/morse,robotics,http://morse-simulator.github.io/,,,,59.0,,,,,2,False,2.0,OFL-1.1,,,,,,,,,,,,,,,,,,,,,,,
57,Roboschool,openai/roboschool,robotics,https://blog.openai.com/roboschool/,,,,9.0,,,,,2,False,2.0,mit,,,,,,,,,,,,,,,,,,,,,,,
58,ProcTHOR,allenai/procthor,ml,https://procthor.allenai.org/,,14.0,14.0,7.0,,,,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,
59,Self Driving Car,udacity/self-driving-car-sim,auto,{},,,,8.0,,,,,2,False,3.0,mit,,,,,,,,,,,,,,,,,,,,,,,
60,RoboCasa,robocasa/robocasa,ml,https://robocasa.ai/,,,,5.0,,,,,2,True,3.0,mit,,,,,,,,,,,,,,,,,,,,,,,
61,OmiLRS,OmniLRS/OmniLRS,space,https://github.com/OmniLRS/OmniLRS/wiki,,,,20.0,,,,,2,True,1.0,BSD 3-Clause,,,,,,,,,,,,,,,,,,,,,,,
62,AGX Dynamics by Algoryx,,physics,https://www.algoryx.se/agx-dynamics/,,,,,,,,"AGX Dynamics, by Algoryx, is a modular physics simulation toolkit available in C++, C# and Python, on Windows, Mac and..",2,True,2.0,Proprietary Software License,,,,,,,,,,,,,,,,,,,,,,,
63,Ocean Sim,umfieldrobotics/OceanSim,maritime,{},,,,5.0,,,,,2,False,2.0,BSD 3-Clause,,,,,,,,,,,,,,,,,,,,,,,
64,UWSim,uji-ros-pkg/underwater_simulation,maritime,https://www.irs.uji.es/uwsim/wiki/index.php?title=Installing_UWSim,,,,25.0,,,,,2,False,2.0,GNU-gpl,,,,,,,,,,,,,,,,,,,,,,,
65,SMaRC 2,smarc-project/smarc2,maritime,{},,,,33.0,,,,,2,False,2.0,BSD-3-Clause and MIT,,,,,,,,,,,,,,,,,,,,,,,
66,robo-gym,jr-robotics/robo-gym,ml,{},,10.0,10.0,11.0,,,,,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,
67,Fly Craft,GongXudong/fly-craft,aerial,{},flycraft,4.0,4.0,,https://pypi.org/project/flycraft,85.0,85.0,,2,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,
68,AutonomousVehicleControlBeginnersGuide,ShisatoYano/AutonomousVehicleControlBeginnersGuide,flatsim,{},,,,17.0,,,,,2,False,3.0,MIT,,,,,,,,,,,,,,,,,,,,,,,
69,Vehicle Dynamics Sim,abaeyens/vehicle_dynamics_sim,flatsim,{},,,,,,,,Simulates a variety of easily configurable bicycle and Ackermann vehicles with dynamic effects such as acceleration..,2,False,3.0,MIT,,,,,,,,,,,,,,,,,,,,,,,
70,DAVE for ROS 2,OES-Lab/dave,maritime,http://dave-ros2.notion.site,,,,,,,,,2,True,2.0,Apache-2,,,,,,,,,,,,,,,,,,,,,,,
71,Unreal Robotics Lab,URLab-Sim/UnrealRoboticsLab,robotics,https://urlab-sim.github.io/UnrealRoboticsLab/,,,,3.0,,,,,2,True,2.0,Apache-2,,,,,,,,,,,,,,,,,,,,,,,
72,Rbot,rlxai/rbot,robotics,{},,,,,,,,,2,False,2.0,Apache-2,,,,,,,,,,,,,,,,,,,,,,,
73,multipanda_ros2,tenfoldpaper/multipanda_ros2,domain,{},,,,14.0,,,,,2,False,1.0,Apache-2,,,,,,,,,,,,,,,,,,,,,,,
74,Webots,cyberbotics/webots,robotics,https://www.cyberbotics.com/,,,,145.0,,,,,1,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,
75,CoppeliaSim core library,CoppeliaRobotics/coppeliaSimLib,robotics,http://coppeliarobotics.com/,,,,3.0,,,,,1,True,3.0,gnu-gpl,,,,,,,,,,,,,,,,[],,,,,,,
76,CoppeliaSim,,robotics,http://coppeliarobotics.com/,,,,,,,,,1,True,3.0,Proprietary Software License,,,,,,,,,,,,,,,,[],,,,,,,
77,NVIDIA Isaac Sim,isaac-sim/IsaacSim,robotics,https://developer.nvidia.com/isaac/sim,,,,5.0,,,,,1,True,3.0,Apache 2.0 and NVIDIA Omniverse License Agreement,,,,,,,,,,,,,,,,,,,,,,,
78,Gym Pybullet Drones,utiasDSL/gym-pybullet-drones,aerial,https://utiasdsl.github.io/gym-pybullet-drones/,,,,24.0,,,,,1,True,3.0,,,,,,,,,,,,,,,,,[],,,,,,,
79,Matlab UAV Toolbox,,aerial,https://www.mathworks.com/products/uav.html,,,,,,,,,1,True,3.0,MathWorks Software License Agreement,,,,,,,,,,,,,,,,[],,,,,,,
80,Realflight,,aerial,https://www.realflight.com/,,,,,,,,,1,True,3.0,proprietary software license,,,,,,,,,,,,,,,,[],,,,,,,
81,JSBSim,JSBSim-Team/jsbsim,physics,{},,,,77.0,,,,,1,False,3.0,,,,,,,,,,,,,,,,,[],,,,,,,
82,Unity,,game,https://unity.com/,,,,,,,,,1,True,3.0,Unity Subscription Plans,,,,,,,,,,,,,,,,[],,,,,,,
83,RobotBuilder,,robotics,https://new.abb.com/products/robotics/software-and-digital/robotstudio,,,,,,,,,1,True,3.0,Commercial software,,,,,,,,,,,,,,,,[],,,,,,,
84,Simbody,simbody/simbody,physics,https://simtk.org/home/simbody,,,,62.0,,,,,1,True,3.0,,,,,,,,,,,,,,,,,[],,,,,,,
85,TPE (part of gz-physics),gazebosim/gz-physics,physics,https://gazebosim.org/,,,,59.0,,,,,1,True,3.0,,,,,,,,,,,,,,,,,[],,,,,,,
86,PhysX SDK (legacy),NVIDIAGameWorks/PhysX,physics,https://nvidia-omniverse.github.io/PhysX/,,,,3.0,,,,,1,True,3.0,NVIDIA Omniverse License Agreement,,,,,,,,,,,,,,,,[],,,,,,,
87,Vortex,,physics,https://www.cm-labs.com/en/vortex-studio/,,,,,,,,,1,True,3.0,EULA,,,,,,,,,,,,,,,,[],,,,,,,
88,Newton Dynamics,newton-dynamics/newton-dynamics,physics,http://newtondynamics.com/,,,,,,,,,1,True,3.0,zlib,,,,,,,,,,,,,,,,[],,,,,,,
89,MuJoCo Wrap,google-deepmind/mujoco_warp,physics,{},,,,48.0,,,,,1,False,3.0,,,,,,,,,,,,,,,,,[],,,,,,,
90,Havok Physics,,physics,https://www.havok.com/havok-physics/,,,,,,,,,1,True,3.0,Per-title licensing model,,,,,,,,,,,,,,,,[],,,,,,,
91,Vulkan,KhronosGroup/Vulkan-Hpp,render,https://www.khronos.org/,,,,106.0,,,,,1,True,3.0,,,,,,,,,,,,,,,,,[],,,,,,,
92,OpenGL,KhronosGroup/Vulkan-Hpp,render,https://www.khronos.org/,,,,106.0,,,,,1,True,3.0,,,,,,,,,,,,,,,,,[],,,,,,,
93,Wren (Webots),cyberbotics/webots,render,https://cyberbotics.com/,,,,145.0,,,,,1,True,3.0,,,,,,,,,,,,,,,,,[],,,,,,,
94,Unreal Engine,,game,https://www.unrealengine.com/,,,,,,,,,1,True,3.0,EULA,,,,,,,,,,,,,,,,[],,,,,,,
