,name,github_id,labels,category,homepage,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,pypi_id,pypi_url,pypi_monthly_downloads,trending,doc_url,conda_id,conda_url,conda_latest_release_published_at,conda_total_downloads,home_page,docs_url,update_at,commint_count,gitlab_id,gitlab_url
0,Godot,godotengine/godot,[],game,https://godotengine.org/,https://github.com/godotengine/godot,MIT,2014-01-04 16:05:36,2025-09-08 20:01:59,2025-09-08 20:01:53,76745.0,1366.0,22628.0,1498.0,50877.0,12189.0,46166.0,101071.0,2025-06-25 12:23:19,3.6.1-stable,12087020.0,93697.0,61.0,Godot Engine Multi-platform 2D and 3D game engine.,21.0,21.0,3454.0,45,True,1.0,,,,,,,,,,,,,,,
1,Gymnasium,Farama-Foundation/Gymnasium,,ml,https://gymnasium.farama.org/,https://github.com/Farama-Foundation/Gymnasium,MIT,2022-09-08 01:58:05,2025-09-08 20:37:39,2025-09-08 20:32:47,2503.0,27.0,1109.0,59.0,895.0,70.0,471.0,10092.0,2025-06-27 08:20:46,1.2.0,,5189453.0,16.0,"An API standard for single-agent reinforcement learning environments, with popular reference environments and related..",20105.0,20105.0,550.0,40,True,1.0,gymnasium,https://pypi.org/project/gymnasium,5189453.0,,,,,,,,,,,,
2,Bevy,bevyengine/bevy,,game,https://bevy.org/,https://github.com/bevyengine/bevy,Apache-2.0,2020-01-18 21:13:55,2025-09-10 00:19:42,2025-09-09 23:56:17,9725.0,724.0,4052.0,306.0,11787.0,2402.0,4875.0,41865.0,2025-06-03 20:02:48,0.16.1,,,43.0,A refreshingly simple data-driven game engine built in Rust.,24887.0,24887.0,1383.0,39,True,2.0,,,,,,,,,,,,,,,
3,mujoco,google-deepmind/mujoco,[],robotics,https://mujoco.org/,https://github.com/google-deepmind/mujoco,Apache-2.0,2021-08-27 12:25:48,2025-09-09 19:02:22,2025-09-09 19:01:53,3372.0,312.0,1098.0,120.0,337.0,123.0,1625.0,10583.0,2025-08-08 23:02:07,3.3.5,710668.0,15120.0,40.0,Multi-Joint dynamics with Contact. A general purpose physics simulator.,4719.0,4719.0,94.0,38,True,1.0,,,,1.0,,,,,,,,,,,
4,Gym,openai/gym,[],ml,https://www.gymlibrary.dev/,https://github.com/openai/gym,MIT,2016-04-27 14:59:16,2024-10-11 20:07:05,2023-01-30 18:15:21,1757.0,,8194.0,1055.0,1466.0,114.0,1726.0,36484.0,2022-10-04 16:39:12,0.26.2,,,19.0,A toolkit for developing and comparing reinforcement learning algorithms.,68236.0,68236.0,384.0,33,False,1.0,,,,,,,,,,,,,,,
5,Drake,RobotLocomotion/drake,[],physics,https://drake.mit.edu/,https://github.com/RobotLocomotion/drake,BSD-3-Clause,2014-01-26 16:11:05,2025-09-10 07:15:58,2025-09-09 22:51:30,33910.0,273.0,1243.0,170.0,16850.0,676.0,5878.0,3703.0,2025-08-15 15:02:11,1.44.0,132273.0,1102.0,79.0,Model-based design and verification for robotics.,,,270.0,33,True,1.0,,,,1.0,,,,,,,,,,,
6,airsim,microsoft/AirSim,,aerial,https://github.com/microsoft/AirSim,https://github.com/microsoft/AirSim,mit,2017-02-14 00:52:29,2025-05-15 20:28:58,2025-05-15 20:28:57,3561.0,,4447.0,592.0,908.0,674.0,2730.0,17485.0,2022-07-18 20:11:48,1.8.1,645812.0,6727.0,30.0,"Open source simulator for autonomous vehicles built on Unreal Engine / Unity, from Microsoft AI & Research.",428.0,428.0,243.0,32,False,1.0,,,,,https://microsoft.github.io/AirSim/,,,,,,,,,,
7,Carla,carla-simulator/carla,[],auto,https://carla.org/,https://github.com/carla-simulator/carla,MIT,2017-10-24 09:06:23,2025-09-09 15:35:09,2025-09-05 07:57:47,6637.0,21.0,4064.0,262.0,2029.0,1123.0,4967.0,12996.0,2024-12-19 14:10:57,0.10.0,,,27.0,Open-source simulator for autonomous driving research.,1094.0,1094.0,184.0,32,True,1.0,,,,,,,,,,,,,,,
8,Genesis,Genesis-Embodied-AI/Genesis,,ml,https://github.com/Genesis-Embodied-AI/Genesis,https://github.com/Genesis-Embodied-AI/Genesis,Apache-2.0,2023-10-31 03:33:11,2025-09-10 10:17:53,2025-09-10 05:25:48,742.0,198.0,2468.0,238.0,657.0,118.0,691.0,27214.0,2025-09-01 18:03:09,0.3.3,,,5.0,A generative world for general-purpose robotics & embodied AI learning.,97.0,97.0,66.0,30,True,1.0,,,,,,,,,,,,,,,
9,Pinocchio,stack-of-tasks/pinocchio,,physics,http://stack-of-tasks.github.io/pinocchio/,https://github.com/stack-of-tasks/pinocchio,BSD-2-Clause,2014-10-07 15:42:51,2025-09-08 14:43:06,2025-09-08 14:42:58,9740.0,126.0,426.0,66.0,1358.0,92.0,1060.0,2674.0,2025-05-21 12:58:04,3.7.0,77443.0,157193.0,87.0,A fast and flexible implementation of Rigid Body Dynamics algorithms and their analytical derivatives.,,,98.0,30,True,1.0,pin,https://pypi.org/project/pin,156574.0,,,,,,,,,,,,
10,O3DE,o3de/o3de,[],game,https://o3de.org/,https://github.com/o3de/o3de,MIT and Apache-2,2021-04-05 06:38:18,2025-09-09 17:50:47,2025-09-09 17:50:47,26613.0,167.0,2312.0,145.0,10939.0,3305.0,4501.0,8508.0,2025-07-22 17:21:09,2505.1,10143.0,202.0,16.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,317.0,29,True,2.0,,,,,,,,,,,,,,,
