,name,github_id,labels,category,homepage,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,pypi_id,pypi_url,pypi_monthly_downloads,doc_url,updated_github_id,trending,conda_id,conda_url,conda_latest_release_published_at,conda_total_downloads,home_page,docs_url,update_at,gitlab_id,gitlab_url
0,Godot,godotengine/godot,[],game,https://godotengine.org/,https://github.com/godotengine/godot,MIT,2014-01-04 16:05:36,2026-02-10 18:35:47,2026-02-10 16:34:39,81310.0,2504.0,23813.0,1513.0,54094.0,12911.0,47986.0,106546.0,2026-01-26 14:05:33,4.6-stable,13984004.0,104358.0,65.0,Godot Engine Multi-platform 2D and 3D game engine.,21.0,21.0,3693.0,44,True,1.0,,,,,,,,,,,,,,,
1,Gymnasium,Farama-Foundation/Gymnasium,,ml,https://gymnasium.farama.org/,https://github.com/Farama-Foundation/Gymnasium,MIT,2022-09-08 01:58:05,2026-02-10 15:44:22,2026-02-10 15:40:43,2547.0,27.0,1265.0,63.0,949.0,76.0,491.0,11308.0,2025-12-18 16:50:37,1.2.3,,5374678.0,19.0,"An API standard for single-agent reinforcement learning environments, with popular reference environments and related..",21315.0,21315.0,571.0,40,True,1.0,gymnasium,https://pypi.org/project/gymnasium,5374678.0,,,,,,,,,,,,
2,Bevy,bevyengine/bevy,,game,https://bevy.org/,https://github.com/bevyengine/bevy,Apache-2.0,2020-01-18 21:13:55,2026-02-11 06:27:03,2026-02-11 05:52:47,10715.0,603.0,4321.0,311.0,13049.0,2590.0,5293.0,44586.0,2026-01-13 22:07:51,0.18.0,,,52.0,A refreshingly simple data-driven game engine built in Rust.,25418.0,25418.0,1490.0,39,True,2.0,,,,,,,,,,,,,,,
3,mujoco,google-deepmind/mujoco,[],robotics,https://mujoco.org/,https://github.com/google-deepmind/mujoco,Apache-2.0,2021-08-27 12:25:48,2026-02-11 02:18:39,2026-02-11 02:17:33,4085.0,397.0,1309.0,117.0,438.0,149.0,1659.0,11969.0,2025-12-05 23:17:44,3.4.0,900262.0,17312.0,43.0,Multi-Joint dynamics with Contact. A general purpose physics simulator.,5140.0,5140.0,102.0,38,True,1.0,,,,,,,,,,,,,,,
4,Gym,openai/gym,[],ml,https://www.gymlibrary.dev/,https://github.com/openai/gym,MIT,2016-04-27 14:59:16,2024-10-11 20:07:05,2023-01-30 18:15:21,1757.0,,8212.0,1041.0,1467.0,112.0,1727.0,37033.0,2022-10-04 16:39:12,0.26.2,,,19.0,A toolkit for developing and comparing reinforcement learning algorithms.,68990.0,68990.0,384.0,33,False,1.0,,,,,,,,,,,,,,,
5,Carla,carla-simulator/carla,[],auto,https://carla.org/,https://github.com/carla-simulator/carla,MIT,2017-10-24 09:06:23,2026-02-11 09:50:14,2026-01-07 14:16:04,6681.0,22.0,4307.0,262.0,2143.0,1132.0,5103.0,13572.0,2025-09-16 09:32:23,0.9.16,,,28.0,Open-source simulator for autonomous driving research.,1104.0,1104.0,191.0,33,True,1.0,,,,,,,,,,,,,,,
6,airsim,microsoft/AirSim,,aerial,https://github.com/microsoft/AirSim,https://github.com/microsoft/AirSim,mit,2017-02-14 00:52:29,2025-05-15 20:28:58,2025-05-15 20:28:57,3561.0,,4496.0,581.0,912.0,681.0,2732.0,17947.0,2022-07-18 20:11:48,1.8.1,675858.0,6691.0,30.0,"Open source simulator for autonomous vehicles built on Unreal Engine / Unity, from Microsoft AI & Research.",436.0,436.0,243.0,32,False,1.0,,,,https://microsoft.github.io/AirSim/,,,,,,,,,,,
7,Drake,RobotLocomotion/drake,[],physics,https://drake.mit.edu/,https://github.com/RobotLocomotion/drake,BSD-3-Clause,2014-01-26 16:11:05,2026-02-11 08:12:39,2026-02-10 19:40:33,34423.0,225.0,1270.0,168.0,17385.0,692.0,5993.0,3902.0,2026-01-15 19:10:02,1.49.0,99026.0,792.0,84.0,Model-based design and verification for robotics.,,,276.0,32,True,1.0,,,,,,,,,,,,,,,
8,Genesis,Genesis-Embodied-AI/Genesis,,ml,https://github.com/Genesis-Embodied-AI/Genesis,https://github.com/Genesis-Embodied-AI/Genesis,Apache-2.0,2023-10-31 03:33:11,2026-02-11 09:49:44,2026-02-11 09:49:44,1141.0,251.0,2579.0,227.0,1151.0,109.0,839.0,28121.0,2026-02-10 10:41:36,0.3.14,,,16.0,A generative world for general-purpose robotics & embodied AI learning.,106.0,106.0,84.0,31,True,1.0,,,,,,,,,,,,,,,
9,Pinocchio,stack-of-tasks/pinocchio,,physics,http://stack-of-tasks.github.io/pinocchio/,https://github.com/stack-of-tasks/pinocchio,BSD-2-Clause,2014-10-07 15:42:51,2026-02-05 01:34:22,2026-02-02 16:12:17,9960.0,125.0,460.0,66.0,1409.0,92.0,1084.0,3111.0,2026-01-05 14:02:59,3.9.0,91930.0,377480.0,89.0,A fast and flexible implementation of Rigid Body Dynamics algorithms and their analytical derivatives.,,,104.0,30,True,1.0,pin,https://pypi.org/project/pin,376773.0,,,,,,,,,,,,
